Instrument:  Raman-Educational
The Light Source Type:  0nm laser/Tungsten lamp
Detector: CCD1
ND filter: 50%
Laser Power(mW):  10 * ND = 5
Grating(g/mm):  1200
Slit Width:   50¦Ìm
Objective:  10X 0.3NA 
Acq. time(ms):  10000.000
Accumulation:  1
A_pixel(2023/7/8 15:48:01)	A_wavelength(2023/7/8 15:48:01)	A_wavenumber(2023/7/8 15:48:01)	A_intensityr(%s %s)2023/7/8 15:48:01
1	536	131	363
2	536	134	348
3	536	137	352
4	536	140	3682
5	536	143	2710
6	536	145	2965
7	536	148	3006
8	536	151	3512
9	536	154	17033
10	536	156	17319
11	537	159	17650
12	537	162	17621
13	537	165	18032
14	537	168	18194
15	537	170	18577
16	537	173	18413
17	537	176	19192
18	537	179	19260
19	537	181	19489
20	537	184	19504
21	537	187	19560
22	537	190	19118
23	538	193	18996
24	538	195	18510
25	538	198	18366
26	538	201	18158
27	538	204	18225
28	538	206	17502
29	538	209	17587
30	538	212	16921
31	538	215	17403
32	538	217	17418
33	538	220	16977
34	538	223	17123
35	538	226	16960
36	539	229	16963
37	539	231	17543
38	539	234	16930
39	539	237	17281
40	539	240	16554
41	539	242	16583
42	539	245	16591
43	539	248	16559
44	539	251	16476
45	539	253	16415
46	539	256	16405
47	539	259	16399
48	540	262	16785
49	540	264	16644
50	540	267	16023
51	540	270	16114
52	540	273	16111
53	540	275	15806
54	540	278	15786
55	540	281	15819
56	540	284	16015
57	540	286	15717
58	540	289	15717
59	540	292	15711
60	540	295	15333
61	541	297	15477
62	541	300	15346
63	541	303	15446
64	541	305	15073
65	541	308	15158
66	541	311	15408
67	541	314	14967
68	541	316	15225
69	541	319	15212
70	541	322	15469
71	541	325	15630
72	541	327	15723
73	542	330	16564
74	542	333	17536
75	542	336	18238
76	542	338	18727
77	542	341	18179
78	542	344	17626
79	542	346	17424
80	542	349	17293
81	542	352	18351
82	542	355	19791
83	542	357	21727
84	542	360	23290
85	542	363	22800
86	543	366	20947
87	543	368	19307
88	543	371	17405
89	543	374	16525
90	543	376	15328
91	543	379	14847
92	543	382	14525
93	543	385	13952
94	543	387	13948
95	543	390	14034
96	543	393	13869
97	543	395	13794
98	544	398	13416
99	544	401	13604
100	544	404	13315
101	544	406	13268
102	544	409	13345
103	544	412	13418
104	544	414	13244
105	544	417	13297
106	544	420	13354
107	544	423	13420
108	544	425	13555
109	544	428	13446
110	544	431	13702
111	545	433	13725
112	545	436	13800
113	545	439	13905
114	545	441	14087
115	545	444	14007
116	545	447	14100
117	545	450	14352
118	545	452	14470
119	545	455	14629
120	545	458	14061
121	545	460	14162
122	545	463	14414
123	546	466	14135
124	546	468	14070
125	546	471	13890
126	546	474	13955
127	546	476	13935
128	546	479	13995
129	546	482	14095
130	546	485	13889
131	546	487	13875
132	546	490	13837
133	546	493	13989
134	546	495	13941
135	546	498	14112
136	547	501	14233
137	547	503	14396
138	547	506	14338
139	547	509	14520
140	547	511	14202
141	547	514	14286
142	547	517	14418
143	547	519	14223
144	547	522	14372
145	547	525	14437
146	547	527	14695
147	547	530	14207
148	548	533	14383
149	548	535	14222
150	548	538	14186
151	548	541	14459
152	548	543	14745
153	548	546	14507
154	548	549	14385
155	548	551	14227
156	548	554	14485
157	548	557	14394
158	548	559	14471
159	548	562	14618
160	548	565	14701
161	549	567	14250
162	549	570	14529
163	549	573	14643
164	549	575	14597
165	549	578	14890
166	549	581	14345
167	549	583	14592
168	549	586	14567
169	549	589	14616
170	549	591	14585
171	549	594	14702
172	549	597	14646
173	550	599	14639
174	550	602	14740
175	550	605	14818
176	550	607	14693
177	550	610	14777
178	550	613	14925
179	550	615	14728
180	550	618	14727
181	550	621	14784
182	550	623	14648
183	550	626	14838
184	550	629	14680
185	550	631	14797
186	551	634	14776
187	551	636	14964
188	551	639	15057
189	551	642	14850
190	551	644	14814
191	551	647	14930
192	551	650	14918
193	551	652	14818
194	551	655	15173
195	551	658	15041
196	551	660	15337
197	551	663	15119
198	552	666	15193
199	552	668	15042
200	552	671	15080
201	552	673	15130
202	552	676	15397
203	552	679	15370
204	552	681	15383
205	552	684	15326
206	552	687	15087
207	552	689	15378
208	552	692	15545
209	552	694	15275
210	552	697	15423
211	553	700	15697
212	553	702	15265
213	553	705	15344
214	553	708	15055
215	553	710	15459
216	553	713	15508
217	553	715	15964
218	553	718	15540
219	553	721	15629
220	553	723	15567
221	553	726	15608
222	553	729	15792
223	554	731	15972
224	554	734	15708
225	554	736	15697
226	554	739	15654
227	554	742	16048
228	554	744	15690
229	554	747	15938
230	554	750	15744
231	554	752	15507
232	554	755	16294
233	554	757	15871
234	554	760	16125
235	554	763	16108
236	555	765	15881
237	555	768	15773
238	555	770	16027
239	555	773	15976
240	555	776	16192
241	555	778	15766
242	555	781	15820
243	555	783	16027
244	555	786	15922
245	555	789	16184
246	555	791	16159
247	555	794	16242
248	556	796	15997
249	556	799	16047
250	556	802	15904
251	556	804	16195
252	556	807	16295
253	556	809	16502
254	556	812	16595
255	556	815	16352
256	556	817	16321
257	556	820	16221
258	556	822	16357
259	556	825	16175
260	557	828	16460
261	557	830	16810
262	557	833	16542
263	557	835	16722
264	557	838	16555
265	557	841	16524
266	557	843	17019
267	557	846	16739
268	557	848	16991
269	557	851	16819
270	557	853	17142
271	557	856	17331
272	557	859	17173
273	558	861	17493
274	558	864	17359
275	558	866	17749
276	558	869	17971
277	558	872	18496
278	558	874	19100
279	558	877	19913
280	558	879	21222
281	558	882	22361
282	558	884	23918
283	558	887	24400
284	558	890	24266
285	559	892	23109
286	559	895	21718
287	559	897	20553
288	559	900	19518
289	559	902	18711
290	559	905	18352
291	559	908	18011
292	559	910	17618
293	559	913	17871
294	559	915	17869
295	559	918	17640
296	559	920	17463
297	559	923	17439
298	560	926	17225
299	560	928	17124
300	560	931	17398
301	560	933	17105
302	560	936	17237
303	560	938	17094
304	560	941	17180
305	560	943	17273
306	560	946	17496
307	560	949	17272
308	560	951	17229
309	560	954	17228
310	561	956	17096
311	561	959	17238
312	561	961	16930
313	561	964	17278
314	561	966	17094
315	561	969	17280
316	561	972	16937
317	561	974	17193
318	561	977	17235
319	561	979	17029
320	561	982	17022
321	561	984	17188
322	561	987	17198
323	562	989	17811
324	562	992	17518
325	562	994	17439
326	562	997	17270
327	562	1000	17307
328	562	1002	17553
329	562	1005	17415
330	562	1007	17611
331	562	1010	17623
332	562	1012	17487
333	562	1015	17788
334	562	1017	17921
335	563	1020	18041
336	563	1022	18043
337	563	1025	18153
338	563	1027	17960
339	563	1030	18084
340	563	1033	18476
341	563	1035	18571
342	563	1038	18904
343	563	1040	19248
344	563	1043	19448
345	563	1045	19694
346	563	1048	19825
347	563	1050	19938
348	564	1053	20090
349	564	1055	20154
350	564	1058	19629
351	564	1060	19638
352	564	1063	19535
353	564	1065	19445
354	564	1068	19383
355	564	1070	19004
356	564	1073	19269
357	564	1076	19517
358	564	1078	19496
359	564	1081	19771
360	565	1083	19958
361	565	1086	20124
362	565	1088	20282
363	565	1091	20360
364	565	1093	20395
365	565	1096	20759
366	565	1098	20676
367	565	1101	20265
368	565	1103	20174
369	565	1106	19897
370	565	1108	19395
371	565	1111	19564
372	565	1113	19284
373	566	1116	19267
374	566	1118	19494
375	566	1121	19035
376	566	1123	19186
377	566	1126	18660
378	566	1128	19215
379	566	1131	19149
380	566	1133	18827
381	566	1136	18821
382	566	1138	18520
383	566	1141	18439
384	566	1143	18542
385	567	1146	18713
386	567	1148	18260
387	567	1151	18438
388	567	1153	18371
389	567	1156	18741
390	567	1158	18578
391	567	1161	18186
392	567	1163	18437
393	567	1166	18337
394	567	1168	18082
395	567	1171	18235
396	567	1173	18013
397	567	1176	18332
398	568	1178	18066
399	568	1181	18265
400	568	1183	17991
401	568	1186	18196
402	568	1188	17844
403	568	1191	18185
404	568	1193	17974
405	568	1196	17963
406	568	1198	18104
407	568	1201	18234
408	568	1203	18108
409	568	1206	18139
410	569	1208	18197
411	569	1211	18026
412	569	1213	18007
413	569	1216	17990
414	569	1218	18375
415	569	1221	18136
416	569	1223	18471
417	569	1226	18333
418	569	1228	18063
419	569	1231	18361
420	569	1233	18390
421	569	1235	18423
422	570	1238	18304
423	570	1240	18537
424	570	1243	18562
425	570	1245	18601
426	570	1248	18441
427	570	1250	18692
428	570	1253	18402
429	570	1255	18875
430	570	1258	18808
431	570	1260	19168
432	570	1263	18860
433	570	1265	18657
434	570	1268	18875
435	571	1270	18884
436	571	1273	18994
437	571	1275	19476
438	571	1277	19698
439	571	1280	19769
440	571	1282	19572
441	571	1285	19741
442	571	1287	20036
443	571	1290	19635
444	571	1292	19302
445	571	1295	19152
446	571	1297	19214
447	572	1300	19006
448	572	1302	19187
449	572	1305	19185
450	572	1307	19104
451	572	1309	19133
452	572	1312	18815
453	572	1314	19233
454	572	1317	18640
455	572	1319	18862
456	572	1322	18776
457	572	1324	18839
458	572	1327	18828
459	572	1329	18984
460	573	1332	18809
461	573	1334	19264
462	573	1336	18863
463	573	1339	19140
464	573	1341	18790
465	573	1344	18784
466	573	1346	18748
467	573	1349	18791
468	573	1351	19050
469	573	1354	19003
470	573	1356	19128
471	573	1358	19384
472	574	1361	19385
473	574	1363	19117
474	574	1366	19033
475	574	1368	18978
476	574	1371	19118
477	574	1373	19254
478	574	1376	18818
479	574	1378	18872
480	574	1380	19321
481	574	1383	19039
482	574	1385	19649
483	574	1388	19359
484	574	1390	19444
485	575	1393	19542
486	575	1395	19389
487	575	1397	19500
488	575	1400	19767
489	575	1402	19750
490	575	1405	19521
491	575	1407	19504
492	575	1410	19628
493	575	1412	19781
494	575	1414	19629
495	575	1417	19950
496	575	1419	19922
497	576	1422	19988
498	576	1424	20172
499	576	1427	20180
500	576	1429	20071
501	576	1431	20293
502	576	1434	20300
503	576	1436	20558
504	576	1439	20558
505	576	1441	20681
506	576	1444	21076
507	576	1446	21440
508	576	1448	21593
509	576	1451	21915
510	577	1453	22670
511	577	1456	23796
512	577	1458	24026
513	577	1460	24372
514	577	1463	24289
515	577	1465	23519
516	577	1468	22906
517	577	1470	22205
518	577	1472	21832
519	577	1475	21442
520	577	1477	21089
521	577	1480	21193
522	578	1482	20944
523	578	1485	20990
524	578	1487	20683
525	578	1489	21030
526	578	1492	20828
527	578	1494	20590
528	578	1497	20601
529	578	1499	20145
530	578	1501	20403
531	578	1504	20044
532	578	1506	20069
533	578	1509	19738
534	579	1511	20058
535	579	1513	19593
536	579	1516	19742
537	579	1518	19706
538	579	1521	20181
539	579	1523	19807
540	579	1525	19764
541	579	1528	19703
542	579	1530	19643
543	579	1533	19886
544	579	1535	19737
545	579	1537	19808
546	579	1540	19813
547	580	1542	19781
548	580	1545	19777
549	580	1547	19810
550	580	1549	19560
551	580	1552	19938
552	580	1554	20114
553	580	1556	19858
554	580	1559	19927
555	580	1561	19734
556	580	1564	19865
557	580	1566	19879
558	580	1568	19767
559	581	1571	19679
560	581	1573	19823
561	581	1576	19642
562	581	1578	19701
563	581	1580	20373
564	581	1583	19851
565	581	1585	19981
566	581	1587	19957
567	581	1590	20324
568	581	1592	20412
569	581	1595	20267
570	581	1597	20046
571	581	1599	19836
572	582	1602	20186
573	582	1604	20252
574	582	1606	20215
575	582	1609	20249
576	582	1611	19990
577	582	1614	20355
578	582	1616	19804
579	582	1618	20483
580	582	1621	20478
581	582	1623	20425
582	582	1625	20131
583	582	1628	20394
584	583	1630	20773
585	583	1633	20493
586	583	1635	20262
587	583	1637	20459
588	583	1640	20407
589	583	1642	20236
590	583	1644	20482
591	583	1647	20529
592	583	1649	20573
593	583	1651	20759
594	583	1654	20790
595	583	1656	20937
596	583	1659	20568
597	584	1661	20728
598	584	1663	20361
599	584	1666	20607
600	584	1668	20790
